Read_ID,Length,GC_Content,Average_Quality
SRR390728.1,36,47.22222222222222,24.77777777777778
SRR390728.2,36,44.44444444444444,21.305555555555557
SRR390728.3,36,52.77777777777778,18.25
SRR390728.4,36,41.66666666666667,18.305555555555557
SRR390728.5,36,36.11111111111111,24.805555555555557
SRR390728.6,36,27.77777777777778,23.47222222222222
SRR390728.7,36,52.77777777777778,22.38888888888889
SRR390728.8,36,22.22222222222222,18.916666666666668
SRR390728.9,36,38.88888888888889,23.63888888888889
SRR390728.10,36,36.11111111111111,24.97222222222222
SRR390728.11,36,41.66666666666667,24.583333333333332
SRR390728.12,36,33.33333333333333,24.333333333333332
SRR390728.13,36,30.555555555555557,24.86111111111111
SRR390728.14,36,36.11111111111111,24.916666666666668
SRR390728.15,36,27.77777777777778,24.22222222222222
SRR390728.16,36,33.33333333333333,23.944444444444443
SRR390728.17,36,83.33333333333334,23.416666666666668
SRR390728.18,36,41.66666666666667,22.75
SRR390728.19,36,41.66666666666667,23.52777777777778
SRR390728.20,36,33.33333333333333,24.5
SRR390728.21,36,52.77777777777778,24.5
SRR390728.22,36,38.88888888888889,24.5
SRR390728.23,36,22.22222222222222,24.97222222222222
SRR390728.24,36,25.0,24.38888888888889
SRR390728.25,36,41.66666666666667,23.75
SRR390728.26,36,36.11111111111111,24.75
SRR390728.27,36,38.88888888888889,23.27777777777778
SRR390728.28,36,25.0,24.833333333333332
SRR390728.29,36,33.33333333333333,24.86111111111111
SRR390728.30,36,27.77777777777778,24.27777777777778
SRR390728.31,36,72.22222222222221,20.88888888888889
SRR390728.32,36,38.88888888888889,24.333333333333332
SRR390728.33,36,36.11111111111111,24.52777777777778
SRR390728.34,36,16.666666666666664,23.13888888888889
SRR390728.35,36,22.22222222222222,24.333333333333332
SRR390728.36,36,33.33333333333333,24.055555555555557
SRR390728.37,36,38.88888888888889,21.083333333333332
SRR390728.38,36,38.88888888888889,24.833333333333332
SRR390728.39,36,50.0,23.944444444444443
SRR390728.40,36,36.11111111111111,23.944444444444443
SRR390728.41,36,58.333333333333336,24.916666666666668
SRR390728.42,36,30.555555555555557,24.555555555555557
